,Municipality,Province,Season,Crop,Area,Production
335,1,172,4,0,15432.0,215971.0
336,1,172,4,2,49692.0,369060890.0
337,1,172,1,7,1735.0,4757.0
338,1,172,1,11,227930.0,547716.0
339,1,172,2,7,6191.0,61867.0
340,1,172,2,11,168963.0,845829.0
341,1,172,4,0,16772.0,295690.0
342,1,172,4,2,49592.0,613037376.0
343,1,172,1,7,2000.0,6000.0
344,1,172,1,11,242000.0,715000.0
345,1,172,2,7,6000.0,49000.0
346,1,172,2,11,169000.0,803000.0
347,1,172,1,7,1602.0,5154.0
348,1,172,1,11,240231.0,716609.0
349,1,172,2,7,6581.0,49107.0
350,1,172,2,11,169861.0,796648.0
351,1,172,4,0,15363.0,291774.0
352,1,172,4,2,50214.0,492936570.0
353,1,172,1,7,983.0,3547.0
354,1,172,1,11,202153.0,616567.0
355,1,172,2,7,8005.0,59821.0
356,1,172,2,11,104423.0,456537.0
357,1,172,4,0,16159.0,354092.0
358,1,172,4,2,50247.0,527381820.0
359,1,172,1,7,469.0,1399.0
360,1,172,1,11,237640.0,457704.0
361,1,172,2,7,7463.0,54704.0
362,1,172,2,11,172888.0,849917.0
363,1,172,4,0,14357.0,392291.0
364,1,172,1,7,468.0,1727.0
365,1,172,1,11,197445.0,589741.0
366,1,172,2,7,8067.0,54017.0
367,1,172,2,11,139649.0,587084.0
368,1,172,4,0,13620.0,302514.0
369,1,172,4,2,50741.0,719961050.0
370,1,172,1,7,495.0,1938.0
371,1,172,1,8,15851.0,157496.0
372,1,172,1,10,231.0,25164.0
373,1,172,1,11,232300.0,355651.0
374,1,172,2,7,9485.0,71659.0
375,1,172,2,11,168756.0,746239.0
376,1,172,4,2,49516.0,729965000.0
377,1,172,1,7,513.0,1626.0
378,1,172,1,8,15017.0,162814.0
379,1,172,1,10,271.0,26530.0
380,1,172,1,11,235159.0,434104.0
381,1,172,2,7,10684.0,92096.0
382,1,172,2,11,169523.0,777602.0
383,1,172,4,0,12427.0,153871.0
384,1,172,4,2,49114.0,720895000.0
385,1,172,1,7,755.0,2500.0
386,1,172,1,8,15820.0,191027.0
387,1,172,1,10,305.0,24011.0
388,1,172,1,11,226072.0,681833.0
389,1,172,2,7,12156.0,98257.0
390,1,172,2,11,168045.0,881396.0
391,1,172,4,2,46865.0,780162000.0
392,1,172,4,11,394117.0,1563229.0
393,1,217,1,7,1700.0,3100.0
394,1,217,1,11,295000.0,845300.0
395,1,217,2,7,5000.0,19000.0
396,1,217,2,11,14500.0,51800.0
397,1,217,1,7,2300.0,4700.0
398,1,217,1,11,298400.0,921400.0
399,1,217,2,7,2800.0,14100.0
400,1,217,2,11,29100.0,99900.0
401,1,217,1,7,3853.0,10946.0
402,1,217,1,11,302886.0,969414.0
403,1,217,2,7,3755.0,18178.0
404,1,217,2,11,14822.0,53167.0
405,1,217,1,7,5281.0,13752.0
406,1,217,1,11,292899.0,987363.0
407,1,217,2,7,4516.0,24314.0
408,1,217,2,11,12692.0,49600.0
409,1,217,4,0,7612.0,141059.0
410,1,217,4,2,519.0,5555550.0
411,1,217,1,7,2549.0,6814.0
412,1,217,1,11,272468.0,935110.0
413,1,217,2,7,4369.0,28281.0
414,1,217,2,11,44917.0,181060.0
415,1,217,4,0,7967.0,204939.0
416,1,217,4,2,491.0,5426352.0
417,1,217,1,7,2327.0,2255.0
418,1,217,1,11,202953.0,646811.0
419,1,217,2,7,6450.0,44699.0
420,1,217,2,11,2716.0,7385.0
421,1,217,4,0,6720.0,151697.0
422,1,217,4,2,399.0,4488408.0
423,1,217,4,8,984.0,10186.0
424,1,217,4,9,288.0,5124.0
425,1,217,4,10,87.0,11349.0
426,1,217,1,7,3891.0,6677.0
427,1,217,1,11,170487.0,482990.0
428,1,217,2,7,22949.0,128514.0
429,1,217,2,11,5772.0,16837.0
430,1,217,4,0,5681.0,42238.0
431,1,217,4,2,380.0,4497480.0
432,1,217,4,8,913.0,2552.0
433,1,217,4,9,959.0,14549.0
434,1,217,4,10,88.0,7991.0
435,1,217,1,7,2749.0,8121.0
436,1,217,1,11,240404.0,833961.0
437,1,217,2,7,32788.0,279714.0
438,1,217,2,11,21247.0,70922.0
439,1,217,4,0,6340.0,180798.0
440,1,217,4,2,215.0,2528312.0
441,1,217,1,7,1617.0,5786.0
442,1,217,1,11,288879.0,892636.0
443,1,217,2,7,22565.0,237023.0
444,1,217,2,11,31434.0,111559.0
445,1,217,4,0,6263.0,164925.0
446,1,217,4,2,222.0,1941072.0
447,1,217,1,7,1132.0,3104.0
448,1,217,1,11,288638.0,783941.0
449,1,217,2,7,34010.0,280276.0
450,1,217,2,11,28933.0,100947.0
451,1,217,4,0,5653.0,173479.0
452,1,217,4,2,213.0,2747097.0
453,1,217,1,7,1000.0,3000.0
454,1,217,1,11,283000.0,976000.0
455,1,217,2,7,58000.0,517000.0
456,1,217,2,11,24000.0,85000.0
457,1,217,1,7,784.0,2522.0
458,1,217,1,11,281491.0,959321.0
459,1,217,2,7,95547.0,950884.0
460,1,217,2,11,51358.0,187662.0
461,1,217,4,0,5519.0,174969.0
462,1,217,4,2,157.0,1435126.0
463,1,217,1,7,530.0,1912.0
464,1,217,1,11,190526.0,683226.0
465,1,217,2,7,68798.0,529745.0
466,1,217,2,11,112342.0,383423.0
467,1,217,4,0,5177.0,122452.0
468,1,217,4,2,136.0,1539810.0
469,1,217,1,7,269.0,802.0
470,1,217,1,11,271072.0,649760.0
471,1,217,2,7,80083.0,904377.0
472,1,217,2,11,58393.0,201806.0
473,1,217,4,0,5045.0,151597.0
474,1,217,1,7,792.0,2922.0
475,1,217,1,11,281790.0,1080921.0
476,1,217,2,7,70965.0,627331.0
477,1,217,2,11,11012.0,39060.0
478,1,217,4,0,5595.0,216308.0
479,1,217,4,2,125.0,1757728.0
480,1,217,1,7,1103.0,4319.0
481,1,217,1,8,703.0,5422.0
482,1,217,1,10,322.0,35076.0
483,1,217,1,11,174699.0,607778.0
484,1,217,2,7,82043.0,662579.0
485,1,217,2,11,8362.0,29903.0
486,1,217,4,2,118.0,2016000.0
487,1,217,1,7,1530.0,4850.0
488,1,217,1,8,710.0,5304.0
489,1,217,1,10,300.0,29369.0
490,1,217,1,11,280060.0,912716.0
491,1,217,2,7,85535.0,643394.0
492,1,217,2,11,48107.0,183288.0
493,1,217,4,0,5574.0,211734.0
494,1,217,4,2,111.0,1840000.0
495,1,217,1,7,367.0,1215.0
496,1,217,1,8,789.0,6592.0
497,1,217,1,10,176.0,13856.0
498,1,217,1,11,255607.0,1000190.0
499,1,217,2,7,63701.0,611020.0
500,1,217,2,11,29695.0,111742.0
501,1,217,4,2,112.0,2428000.0
502,1,217,4,11,285302.0,1111932.0
503,1,274,1,7,200.0,100.0
504,1,274,1,11,47700.0,77500.0
505,1,274,2,11,13000.0,27700.0
506,1,274,1,7,100.0,100.0
507,1,274,1,11,59200.0,169800.0
508,1,274,2,11,17000.0,41600.0
509,1,274,1,7,104.0,295.0
510,1,274,1,11,54783.0,134484.0
511,1,274,2,7,11.0,53.0
512,1,274,2,11,6828.0,12921.0
513,1,274,1,7,104.0,271.0
514,1,274,1,11,60412.0,170120.0
515,1,274,2,7,51.0,275.0
516,1,274,2,11,7426.0,6134.0
517,1,274,4,0,3620.0,161828.0
518,1,274,4,2,146.0,625240.0
519,1,274,1,7,53.0,142.0
520,1,274,1,11,38218.0,96883.0
521,1,274,2,7,31.0,201.0
522,1,274,2,11,37550.0,98231.0
523,1,274,4,0,4074.0,132748.0
524,1,274,4,2,148.0,530400.0
525,1,274,1,7,136.0,132.0
526,1,274,1,11,27457.0,56424.0
527,1,274,2,7,25.0,173.0
528,1,274,2,11,9203.0,16446.0
529,1,274,4,0,4574.0,299574.0
