,Municipality,Province,Crop_Year,Season,Crop,Area,Production
256,Andhra Pradesh,CHITTOOR,2011,Whole Year,Coconut,3663.0,29376960.0
257,Andhra Pradesh,CHITTOOR,2012,Kharif,Grapes,30.0,546.0
258,Andhra Pradesh,CHITTOOR,2012,Kharif,Maize,1078.0,4375.0
259,Andhra Pradesh,CHITTOOR,2012,Kharif,Mango,56760.0,502212.0
260,Andhra Pradesh,CHITTOOR,2012,Kharif,Papaya,558.0,60785.0
261,Andhra Pradesh,CHITTOOR,2012,Kharif,Rice,12952.0,45241.0
262,Andhra Pradesh,CHITTOOR,2012,Rabi,Maize,547.0,3876.0
263,Andhra Pradesh,CHITTOOR,2012,Rabi,Rice,34557.0,126168.0
264,Andhra Pradesh,CHITTOOR,2012,Whole Year,Coconut,3351.0,28899000.0
265,Andhra Pradesh,CHITTOOR,2013,Kharif,Grapes,23.0,417.0
266,Andhra Pradesh,CHITTOOR,2013,Kharif,Maize,1905.0,7683.0
267,Andhra Pradesh,CHITTOOR,2013,Kharif,Mango,66615.0,588344.0
268,Andhra Pradesh,CHITTOOR,2013,Kharif,Papaya,526.0,13845.0
269,Andhra Pradesh,CHITTOOR,2013,Kharif,Rice,15206.0,48766.0
270,Andhra Pradesh,CHITTOOR,2013,Rabi,Maize,1303.0,9713.0
271,Andhra Pradesh,CHITTOOR,2013,Rabi,Rice,34654.0,120249.0
272,Andhra Pradesh,CHITTOOR,2013,Whole Year,Banana,910.0,50203.0
273,Andhra Pradesh,CHITTOOR,2013,Whole Year,Coconut,2760.0,19847000.0
274,Andhra Pradesh,CHITTOOR,2014,Kharif,Grapes,32.0,932.0
275,Andhra Pradesh,CHITTOOR,2014,Kharif,Maize,2693.0,8820.0
276,Andhra Pradesh,CHITTOOR,2014,Kharif,Mango,64633.0,462384.0
277,Andhra Pradesh,CHITTOOR,2014,Kharif,Papaya,519.0,13790.0
278,Andhra Pradesh,CHITTOOR,2014,Kharif,Rice,13304.0,44462.0
279,Andhra Pradesh,CHITTOOR,2014,Rabi,Maize,984.0,6429.0
280,Andhra Pradesh,CHITTOOR,2014,Rabi,Rice,27661.0,87962.0
281,Andhra Pradesh,CHITTOOR,2014,Whole Year,Coconut,3465.0,29033000.0
282,Andhra Pradesh,CHITTOOR,2014,Whole Year,Rice,40965.0,132424.0
283,Andhra Pradesh,EAST GODAVARI,1997,Kharif,Maize,1600.0,2900.0
284,Andhra Pradesh,EAST GODAVARI,1997,Kharif,Rice,214100.0,429300.0
285,Andhra Pradesh,EAST GODAVARI,1997,Rabi,Maize,3600.0,13700.0
286,Andhra Pradesh,EAST GODAVARI,1997,Rabi,Rice,154400.0,491500.0
287,Andhra Pradesh,EAST GODAVARI,1998,Kharif,Maize,1700.0,3600.0
288,Andhra Pradesh,EAST GODAVARI,1998,Kharif,Rice,256300.0,386600.0
289,Andhra Pradesh,EAST GODAVARI,1998,Rabi,Maize,3800.0,18700.0
290,Andhra Pradesh,EAST GODAVARI,1998,Rabi,Rice,157600.0,656600.0
291,Andhra Pradesh,EAST GODAVARI,1999,Kharif,Maize,1522.0,4324.0
292,Andhra Pradesh,EAST GODAVARI,1999,Kharif,Rice,244655.0,628606.0
